127.0.0.1 - - [15/Dec/2021:17:39:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:01 +0900] "GET /mall/index.jsp HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:03 +0900] "GET /mall/loginFrm.jsp HTTP/1.1" 200 2554
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:05 +0900] "POST /mall/loginProc.jsp HTTP/1.1" 500 2285
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:12 +0900] "GET /mall/productList HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:16 +0900] "GET /mall/board/listProc.do HTTP/1.1" 200 3917
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:16 +0900] "GET /mall/index.jsp HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:17 +0900] "GET /mall/index.jsp HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:17 +0900] "GET /mall/index.jsp HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:17 +0900] "GET /mall/index.jsp HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:17 +0900] "GET /mall/index.jsp HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:17 +0900] "GET /mall/index.jsp HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:18 +0900] "GET /mall/index.jsp HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:18 +0900] "GET /mall/index.jsp HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:18 +0900] "GET /mall/index.jsp HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:18 +0900] "GET /mall/index.jsp HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:18 +0900] "GET /mall/index.jsp HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:19 +0900] "GET /mall/index.jsp HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [15/Dec/2021:17:40:20 +0900] "GET /mall/board/listProc.do HTTP/1.1" 200 3917
